,depth,zero_disp,zero_disp_neg,a,a_neg
0,1500,378.26504679360494,392.5751430442716,-43.180707507829936,-45.28436167567959
1,1600,358.60646226926167,375.9726942826543,-43.14320410959053,-43.63650170002011
2,1700,341.2016377473418,358.26287718870213,-42.99778304933167,-43.6640488271438
3,1800,326.83498071913374,343.6179462869791,-43.48450447520696,-43.690088935604635
4,1900,312.1360945477966,332.3609849086802,-42.757974642635226,-42.565714884223894
5,2000,300.2329150916455,318.7158460832152,-43.09978053908618,-43.7099274465898
6,2100,288.7137850504624,308.4776394347295,-42.626925871612784,-43.17938247138656
7,2200,279.6358384449688,297.74064379602027,-42.67278781505677,-43.31552671487669
8,2300,270.2985276636498,288.27315136721285,-43.06632200261397,-43.77930040547411
9,2400,262.3750918696254,279.02524442809937,-43.142201858706585,-43.73411112294247
10,2500,253.0892359286457,272.80387041179836,-42.20338415574799,-43.40627421208183
11,2600,246.49734231297452,265.98060711383766,-42.48111338535699,-43.19082049200998
12,2700,240.97374506034706,259.657433419763,-42.822827684087414,-42.81531293342626
13,2800,235.81398926129955,252.1411697409301,-43.31838310736524,-43.451229666902954
